外 O -1
观 O -1
上 O -1
人 O -1
性 O -1
化 O -1
设 B-ASP 2
计 I-ASP 2
也 O -1
有 O -1
值 O -1
得 O -1
一 O -1
提 O -1
的 O -1
细 O -1
微 O -1
之 O -1
处 O -1

但 O -1
整 O -1
个 O -1
屏 B-ASP 2
幕 I-ASP 2
给 O -1
人 O -1
的 O -1
感 O -1
觉 O -1
相 O -1
当 O -1
不 O -1
错 O -1

的 O -1
屏 O -1
幕 O -1
拥 O -1
有 O -1
高 O -1
达 O -1
的 O -1
分 B-ASP 2
辨 I-ASP 2
率 I-ASP 2

能 O -1
极 O -1
大 O -1
的 O -1
丰 O -1
富 O -1
画 O -1
面 O -1
内 O -1
容 O -1
的 O -1
显 B-ASP 2
示 I-ASP 2
效 I-ASP 2
果 I-ASP 2

虽 O -1
然 O -1
的 O -1
赛 O -1
扬 O -1
的 O -1
性 B-ASP 0
能 I-ASP 0
处 O -1
理 O -1
器 O -1
性 O -1
不 O -1
能 O -1
算 O -1
高 O -1

的 O -1
键 B-ASP 2
盘 I-ASP 2
向 O -1
来 O -1
很 O -1
有 O -1
口 O -1
碑 O -1

键 B-ASP 2
盘 I-ASP 2
的 I-ASP 2
弹 I-ASP 2
性 I-ASP 2
很 O -1
适 O -1
中 O -1

操 B-ASP 2
作 I-ASP 2
起 O -1
来 O -1
特 O -1
别 O -1
顺 O -1
手 O -1

在 O -1
静 B-ASP 2
音 I-ASP 2
方 I-ASP 2
面 I-ASP 2
也 O -1
控 O -1
制 O -1
得 O -1
不 O -1
错 O -1

本 O -1
身 O -1
的 O -1
重 B-ASP 0
量 I-ASP 0
并 O -1
不 O -1
算 O -1
轻 O -1
巧 O -1

电 B-ASP 0
池 I-ASP 0
续 I-ASP 0
航 I-ASP 0
能 I-ASP 0
力 I-ASP 0
较 O -1
差 O -1

在 O -1
这 O -1
个 O -1
价 O -1
位 O -1
的 O -1
机 O -1
器 O -1
中 O -1
配 B-ASP 2
置 I-ASP 2
还 O -1
过 O -1
得 O -1
去 O -1

摸 O -1
上 O -1
去 O -1
的 O -1
手 B-ASP 2
感 I-ASP 2
还 O -1
不 O -1
错 O -1

液 B-ASP 2
晶 I-ASP 2
面 I-ASP 2
板 I-ASP 2
的 I-ASP 2
显 I-ASP 2
示 I-ASP 2
质 I-ASP 2
量 I-ASP 2
也 O -1
很 O -1
好 O -1

整 B-ASP 2
体 I-ASP 2
性 I-ASP 2
能 I-ASP 2
不 O -1
错 O -1

集 O -1
成 O -1
的 O -1
显 B-ASP 2
卡 I-ASP 2
的 I-ASP 2
显 I-ASP 2
示 I-ASP 2
性 I-ASP 2
能 I-ASP 2
不 O -1
错 O -1

的 O -1
品 B-ASP 2
牌 I-ASP 2
效 I-ASP 2
应 I-ASP 2
和 O -1
售 O -1
后 O -1
服 O -1
务 O -1
不 O -1
错 O -1

其 O -1
致 O -1
命 O -1
弱 O -1
点 O -1
是 O -1
寿 B-ASP 0
命 I-ASP 0
短 O -1
而 O -1
且 O -1
具 O -1
有 O -1
记 O -1
忆 O -1
效 O -1
应 O -1

该 O -1
机 O -1
的 O -1
顶 B-ASP 0
盖 I-ASP 0
强 I-ASP 0
度 I-ASP 0
不 O -1
够 O -1

内 B-ASP 0
存 I-ASP 0
可 I-ASP 0
升 I-ASP 0
级 I-ASP 0
性 I-ASP 0
比 O -1
较 O -1
小 O -1

与 O -1
市 O -1
场 O -1
价 B-ASP 0
格 I-ASP 0
相 O -1
比 O -1
显 O -1
得 O -1
比 O -1
较 O -1
高 O -1

不 O -1
过 O -1
兼 B-ASP 2
容 I-ASP 2
性 I-ASP 2
可 O -1
能 O -1
会 O -1
更 O -1
好 O -1
一 O -1
些 O -1

该 O -1
机 O -1
的 O -1
外 B-ASP 0
部 I-ASP 0
接 I-ASP 0
口 I-ASP 0
太 O -1
少 O -1

做 B-ASP 2
工 I-ASP 2
细 O -1
致 O -1

性 B-ASP 2
能 I-ASP 2
有 O -1
所 O -1
提 O -1
升 O -1

但 O -1
显 B-ASP 2
示 I-ASP 2
效 I-ASP 2
果 I-ASP 2
和 O -1
亮 O -1
度 O -1
适 O -1
中 O -1

长 O -1
期 O -1
使 O -1
用 O -1
视 B-ASP 2
觉 I-ASP 2
也 O -1
很 O -1
适 O -1
中 O -1

机 O -1
身 O -1
左 O -1
侧 O -1
的 O -1
接 B-ASP 0
口 I-ASP 0
虽 O -1
然 O -1
不 O -1
多 O -1

标 O -1
准 O -1
深 O -1
蓝 O -1
色 O -1
键 B-ASP 2
盘 I-ASP 2
用 O -1
起 O -1
来 O -1
舒 O -1
适 O -1

键 B-ASP 2
程 I-ASP 2
适 O -1
中 O -1

触 B-ASP 2
控 I-ASP 2
板 I-ASP 2
定 O -1
位 O -1
精 O -1
准 O -1

手 B-ASP 2
感 I-ASP 2
不 O -1
错 O -1

电 B-ASP 2
池 I-ASP 2
设 I-ASP 2
计 I-ASP 2
更 O -1
为 O -1
人 O -1
性 O -1
化 O -1
的 O -1
一 O -1
